ID_MUESTRA,CODIGO_MUESTRA,ID_MUESTRA_FISICA,CODIGO_MUESTRA_FISICA,ID_TIPO_MUESTRA,LOTE,ID_ESPECIE,ID_TIPO_CULTIVO,ID_PARTE_PLANTA,ID_UBICACION,ID_METODO_EXTRACCION,ID_SOLVENTE,MODO_IONIZACION,ID_COLUMNA,VISITA,SECUENCIA_INYECCION
99,98_MB_51_A-2_2_NEG,99,98_MB_51_A-2_2,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,2,98
100,99_MB_52_C+1_1_NEG,100,99_MB_52_C+1_1,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,1,99
101,100_MB_53_B-2_3_POS,1,100_MB_53_B-2_3,1,BATCH_02_POS,1,1,1,2,1,1,POS,1,3,
102,101_MB_54_C+2_2_POS,2,101_MB_54_C+2_2,1,BATCH_02_POS,1,1,1,3,1,1,POS,1,2,
103,102_GC_4_B_POS,3,102_GC_4_B,4,BATCH_02_POS,1,1,1,2,1,1,POS,1,4,
104,103_GC_4_2_POS,4,103_GC_4_2,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,4,
105,104_GC_4_-_POS,5,104_GC_4_-,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,4,
106,105_GC_4_0_POS,6,105_GC_4_0,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,4,
107,106_GC_4_A_POS,7,106_GC_4_A,4,BATCH_02_POS,1,1,1,1,1,1,POS,1,4,
108,107_GC_4_C_POS,8,107_GC_4_C,4,BATCH_02_POS,1,1,1,3,1,1,POS,1,4,
109,108_POOLED_QC_13_POS,9,108_POOLED_QC_13,3,BATCH_02_POS,1,1,1,4,1,1,POS,1,13,
110,109_GC_4_1_POS,10,109_GC_4_1,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,4,
111,110_GC_4_+_POS,11,110_GC_4_+,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,4,
112,111_POOLED_QC_14_POS,12,111_POOLED_QC_14,3,BATCH_02_POS,1,1,1,4,1,1,POS,1,14,
113,12_POOLED_QC_1_POS,13,12_POOLED_QC_1,3,BATCH_02_POS,1,1,1,4,1,1,POS,1,1,
114,13_GC_1_A_POS,14,13_GC_1_A,4,BATCH_02_POS,1,1,1,1,1,1,POS,1,1,
115,14_POOLED_QC_2_POS,15,14_POOLED_QC_2,3,BATCH_02_POS,1,1,1,4,1,1,POS,1,2,
116,15_GC_1_+_POS,16,15_GC_1_+,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,1,
117,16_GC_1_1_POS,17,16_GC_1_1,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,1,
118,17_GC_1_2_POS,18,17_GC_1_2,4,BATCH_02_POS,1,1,1,4,1,1,POS,1,1,
119,18_GC_1_C_POS,19,18_GC_1_C,4,BATCH_02_POS,1,1,1,3,1,1,POS,1,1,
120,19_GC_1_B_POS,20,19_GC_1_B,4,BATCH_02_POS,1,1,1,2,1,1,POS,1,1,
