ID_MUESTRA,ID_MUESTRA_FISICA,TIPO_MUESTRA,LOTE,ID_ESPECIE,TIPO_CULTIVO,PARTE_ESTUDIADA,ORIGEN_GEOGRAFICO,EXPOSICION_LUZ,ESTADIO_MADUREZ,METODO_EXTRACCION,SOLVENTE_EXTRACCION,MODO_IONIZACION,COLUMNA_CROMATOGRAFICA
MB_3_A+2_1_NEG,MB_3_A+2_1,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",Luz,Tardia (8-10 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_4_B+1_2_NEG,MB_4_B+1_2,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra B (Alto Pano), Napo, Ecuador",Luz,Media (6-8 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_5_A+1_1_NEG,MB_5_A+1_1,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",Luz,Media (6-8 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
POOLED_QC_3_NEG,POOLED_QC_3,QC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Pool de las 3 chakras (Talag, Alto Pano, Alto Tena), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_6_A-0_1_NEG,MB_6_A-0_1,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",Sombra,Temprana (4-6 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_7_C+2_3_NEG,MB_7_C+2_3,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra C (Alto Tena), Napo, Ecuador",Luz,Tardia (8-10 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_8_B+0_2_NEG,MB_8_B+0_2,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra B (Alto Pano), Napo, Ecuador",Luz,Temprana (4-6 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_9_C-0_2_NEG,MB_9_C-0_2,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra C (Alto Tena), Napo, Ecuador",Sombra,Temprana (4-6 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_10_A+2_2_NEG,MB_10_A+2_2,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",Luz,Tardia (8-10 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
POOLED_QC_4_NEG,POOLED_QC_4,QC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Pool de las 3 chakras (Talag, Alto Pano, Alto Tena), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_11_A-1_1_NEG,MB_11_A-1_1,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",Sombra,Media (6-8 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_12_A+2_3_NEG,MB_12_A+2_3,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",Luz,Tardia (8-10 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_13_A+0_1_NEG,MB_13_A+0_1,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",Luz,Temprana (4-6 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_14_C-0_3_NEG,MB_14_C-0_3,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra C (Alto Tena), Napo, Ecuador",Sombra,Temprana (4-6 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
MB_15_B+0_3_NEG,MB_15_B+0_3,Sample,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra B (Alto Pano), Napo, Ecuador",Luz,Temprana (4-6 anios),"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
POOLED_QC_5_NEG,POOLED_QC_5,QC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Pool de las 3 chakras (Talag, Alto Pano, Alto Tena), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
GC_2_A_NEG,GC_2_A,SubQC,BATCH_01_NEG,ILEX_GUAYUSA,Agroforesteria tradicional organica (chakra),Hoja,"Chakra A (Talag), Napo, Ecuador",,,"Ultrasonido (sonicacion 20 min, agitacion manual)",Agua con 2% acido formico y 10% acetonitrilo,NEG,Fase Reversa (RP) - ACQUITY UPLC CSH C18 1.7um (3.0x50mm)
